Market,IS,Return,Sharpe Ratio,Win Rate,OOS,Return,Win Rate, Market Change
USDT, 20201001_20210101,15.34%,9.81749,54/12/2, 20210101_20210201,0.66%,4/22/1,90.17%
USDT, 20201101_20210201,33.18%,12.43045,93/24/11, 20210201_20210301,6.42%,8/14/0,92.59%
USDT, 20201201_20210301,23.05%,11.39889,64/22/1, 20210301_20210401,1.5%,3/19/1,63.41%
USDT, 20210101_20210401,25.66%,14.00658,62/15/2, 20210401_20210501,8.2%,3/4/0,60.82%
USDT, 20210201_20210501,21.09%,11.37014,48/24/1, 20210501_20210601,-16.93%,3/21/2,-23.51%
BTC, 20201001_20210101,15.76%,5.40204,15/6/1, 20210101_20210201,5.93%,3/23/3,72.81%
BTC, 20201101_20210201,11.40%,6.08747,31/4/5, 20210201_20210301,5.63%,4/11/2,35.11%
BTC, 20201201_20210301,26.66%,6.41930,44/2/20, 20210301_20210401,-4.63%,5/11/5,22.96%
BTC, 20210101_20210401,48.54%,10.74530,31/10/1, 20210401_20210501,11.2%,6/16/1,66.63%
BTC, 20210201_20210501,62.41%,11.10758,66/30/12, 20210501_20210601,-8.63%,2/21/4,18.25%
